COD_MKT_ID;COD_MKT;AREA;COD_AREA;MACROSETTORE;COD_MACROSET;SETTORE;COD_SETT;REPARTO;COD_REP;CATEGORIA;COD_CATEG;SOTTOCATEGORIA;COD_SUBCATEG;SEGMENTO;COD_SEGMENTO
1;54031210302;Alimentari;1;Generi vari;1;CHIMICA;54;IGIENE PERSONA;03;PROD. SANITARI PARAMED;121;PRIMO SOCCORSO;03;CEROTTI SPECIALI;02
2;54031210303;Alimentari;1;Generi vari;1;CHIMICA;54;IGIENE PERSONA;03;PROD. SANITARI PARAMED;121;PRIMO SOCCORSO;03;BENDE/GARZE;03
3;54031210304;Alimentari;1;Generi vari;1;CHIMICA;54;IGIENE PERSONA;03;PROD. SANITARI PARAMED;121;PRIMO SOCCORSO;03;ALTRI;04
4;54031210401;Alimentari;1;Generi vari;1;CHIMICA;54;IGIENE PERSONA;03;PROD. SANITARI PARAMED;121;PARAFARMACEUTICI;04;AUTOMEDICAZIONE;01
5;54031210402;Alimentari;1;Generi vari;1;CHIMICA;54;IGIENE PERSONA;03;PROD. SANITARI PARAMED;121;PARAFARMACEUTICI;04;SIRINGHE;02
6;54031210403;Alimentari;1;Generi vari;1;CHIMICA;54;IGIENE PERSONA;03;PROD. SANITARI PARAMED;121;PARAFARMACEUTICI;04;TERMOMETRI;03
7;54031210404;Alimentari;1;Generi vari;1;CHIMICA;54;IGIENE PERSONA;03;PROD. SANITARI PARAMED;121;PARAFARMACEUTICI;04;TEST DIAGNOSTICI;04
8;68066070101;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;COTTURA PED;607;FORNI/FORNELLI;01;ELETTRICI;01
9;68066070102;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;COTTURA PED;607;FORNI/FORNELLI;01;GAS;02
10;68066070201;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;COTTURA PED;607;MACCH. GRIGLIARE/TOSTARE;02;BISTECCHIERE;01
11;68066070202;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;COTTURA PED;607;MACCH. GRIGLIARE/TOSTARE;02;COTTURA PIZZA;02
12;68066070203;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;COTTURA PED;607;MACCH. GRIGLIARE/TOSTARE;02;CREPIERE;03
13;68066070204;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;COTTURA PED;607;MACCH. GRIGLIARE/TOSTARE;02;GRIGLIE;04
14;68066070205;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;COTTURA PED;607;MACCH. GRIGLIARE/TOSTARE;02;TOSTAPANE;05
15;68066070206;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;COTTURA PED;607;MACCH. GRIGLIARE/TOSTARE;02;TOSTIERE;06
16;68066070207;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;COTTURA PED;607;MACCH. GRIGLIARE/TOSTARE;02;ALTRO;07
17;68066070301;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;COTTURA PED;607;MACCHINE CAFFE';03;ESPRESSO SISTEMA APERTO;01
18;68066070302;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;COTTURA PED;607;MACCHINE CAFFE';03;BOLLITORI;02
19;68066070303;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;COTTURA PED;607;MACCHINE CAFFE';03;AUTOMATICHE;03
20;68066070304;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;COTTURA PED;607;MACCHINE CAFFE';03;FILTRO;04
21;68066070305;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;COTTURA PED;607;MACCHINE CAFFE';03;MACINA CAFFE';05
22;68066070306;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;COTTURA PED;607;MACCHINE CAFFE';03;ACCESSORI;06
23;68066070401;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;COTTURA PED;607;MACCHINE PER CUOCERE;04;COTTURA A VAPORE;01
24;68066070402;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;COTTURA PED;607;MACCHINE PER CUOCERE;04;FRIGGITRICI;02
25;68066070403;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;COTTURA PED;607;MACCHINE PER CUOCERE;04;ALTRE MACCHINE;03
26;68066070404;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;COTTURA PED;607;MACCHINE PER CUOCERE;04;ACCESSORI;04
27;68066070501;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;COTTURA PED;607;MICROONDE;05;BASE;01
28;68066070502;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;COTTURA PED;607;MICROONDE;05;COMBINATI;02
29;68066090101;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CUCINA PED;609;ALTRE MACCHINE;01;GELATO;01
30;68066090102;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CUCINA PED;609;ALTRE MACCHINE;01;PASTA;02
31;68066090103;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CUCINA PED;609;ALTRE MACCHINE;01;YOGURTIERE;03
32;68066090104;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CUCINA PED;609;ALTRE MACCHINE;01;ACCESSORI;04
33;68066090105;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CUCINA PED;609;ALTRE MACCHINE;01;ALTRE MACCHINE;05
34;68066090201;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CUCINA PED;609;MACC. TRITARE/FRULLARE;02;FRULLATORI;01
35;68066090202;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CUCINA PED;609;MACC. TRITARE/FRULLARE;02;GRATTUGIE;02
36;68066090203;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CUCINA PED;609;MACC. TRITARE/FRULLARE;02;ROBOT MULTIFUNZIONE;03
37;68066090204;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CUCINA PED;609;MACC. TRITARE/FRULLARE;02;SBATTITORI;04
38;68066090205;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CUCINA PED;609;MACC. TRITARE/FRULLARE;02;TRITATUTTO;05
39;68066090206;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CUCINA PED;609;MACC. TRITARE/FRULLARE;02;ACCESSORI;06
40;68066090301;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CUCINA PED;609;MACCHINE PER SPREMERE;03;CENTRIFUGHE;01
41;68066090302;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CUCINA PED;609;MACCHINE PER SPREMERE;03;SPREMIAGRUMI;02
42;68066090303;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CUCINA PED;609;MACCHINE PER SPREMERE;03;SPREMIPOMODORI;03
43;68066090304;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CUCINA PED;609;MACCHINE PER SPREMERE;03;ACCESSORI;04
44;68066090401;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CUCINA PED;609;MACCHINE PER TAGLIARE;04;AFFETTATRICI;01
45;68066090402;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CUCINA PED;609;MACCHINE PER TAGLIARE;04;COLTELLI ELETTRICI;02
46;68066090403;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CUCINA PED;609;MACCHINE PER TAGLIARE;04;ACCESSORI;03
47;68066110101;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;PULIZIA PED;611;CASA;01;A VAPORE;01
48;68066110102;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;PULIZIA PED;611;CASA;01;ACCESSORI/ RICAMBI;02
